dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.095518,0.0469,0.0261,1.7935,-0.02909,-0.00528,0.03133,0.0,0.0,2.0,0.0,-0.0469,-0.0261,0.2065,0.2133
0.081455,0.0443,0.0194,1.828,-0.03839,0.00814,0.04371,0.0,0.0,2.0,0.0,-0.0443,-0.0194,0.172,0.1787
0.098894,0.041,0.0165,1.8605,-0.0109,0.0141,0.04487,1.0,1.0,3.0,-1.5,0.959,0.9835,1.1395,1.7848
0.099381,0.0403,0.0142,1.8889,-0.0091,0.01108,0.04149,1.0,1.0,3.0,-1.5,0.9597,0.9858,1.1111,1.7684
0.1,0.0417,0.0136,1.9172,0.01181,-0.01211,-0.02328,1.0,1.0,3.0,-1.5,0.9583,0.9864,1.0828,1.7503
0.098834,0.0427,0.0169,1.9464,-0.01791,0.00675,-0.09382,1.0,1.0,3.0,-1.5,0.9573,0.9831,1.0536,1.73
0.099797,0.0465,0.0186,1.9783,0.00369,-0.0015,-0.14301,1.0,1.0,3.0,-1.5,0.9535,0.9814,1.0217,1.7077
0.1,0.0511,0.0226,2.0109,-0.00441,0.00614,-0.212,1.0,1.0,3.0,-1.5,0.9489,0.9774,0.9891,1.6834
0.1,0.0567,0.0273,2.0444,0.00501,0.00322,-0.27274,1.0,1.0,3.0,-1.5,0.9433,0.9727,0.9556,1.6581
0.1,0.0644,0.0329,2.079,0.00326,0.01745,-0.33891,1.0,1.0,3.0,-1.5,0.9356,0.9671,0.921,1.6306
0.099871,0.0731,0.0335,2.1211,-0.01592,0.20031,-0.26993,1.0,1.0,3.0,-1.5,0.9269,0.9665,0.8789,1.6018
0.1,0.0843,0.0448,2.15,0.00881,0.02438,-0.45986,1.0,1.0,3.0,-1.5,0.9157,0.9552,0.85,1.5727
0.1,0.0981,0.0495,2.191,0.0155,-0.0065,-0.52401,1.0,1.0,3.0,-1.5,0.9019,0.9505,0.809,1.5399
0.090692,0.1084,0.0547,2.223,0.01583,-0.00251,-0.58459,1.0,1.0,3.0,-1.5,0.8916,0.9453,0.777,1.514
0.1,0.1227,0.0585,2.2631,0.02139,-0.00833,-0.64647,1.0,1.0,3.0,-1.5,0.8773,0.9415,0.7369,1.4829
0.085539,0.1342,0.0605,2.2949,0.01409,0.03935,-0.71188,1.0,1.0,3.0,-1.5,0.8658,0.9395,0.7051,1.4592
0.1,0.1465,0.063,2.3304,0.00095,0.00973,-0.77166,1.0,1.0,3.0,-1.5,0.8535,0.937,0.6696,1.4334
0.1,0.159,0.0639,2.3655,0.04012,-0.01329,-0.81685,1.0,1.0,3.0,-1.5,0.841,0.9361,0.6345,1.4093
0.1,0.1724,0.0646,2.4032,0.02067,0.00124,-0.88923,1.0,1.0,3.0,-1.5,0.8276,0.9354,0.5968,1.3842
0.1,0.1842,0.065,2.4367,0.02336,-0.01359,-0.94825,1.0,1.0,3.0,-1.5,0.8158,0.935,0.5633,1.3627
0.1,0.1948,0.0643,2.4696,0.01485,-0.02106,-0.98293,1.0,1.0,3.0,-1.5,0.8052,0.9357,0.5304,1.3437
0.099251,0.2042,0.0628,2.5019,0.01554,-0.02299,-1.01899,1.0,1.0,3.0,-1.5,0.7958,0.9372,0.4981,1.3265
0.1,0.213,0.0608,2.5336,0.01603,-0.00891,-1.05537,1.0,1.0,3.0,-1.5,0.787,0.9392,0.4664,1.3111
0.096096,0.2206,0.0575,2.5648,0.01745,-0.00316,-1.0933,1.0,1.0,3.0,-1.5,0.7794,0.9425,0.4352,1.2981
0.1,0.2272,0.0539,2.5957,0.01261,-0.04139,-1.11749,1.0,1.0,3.0,-1.5,0.7728,0.9461,0.4043,1.2868
0.096839,0.2324,0.0503,2.6262,0.0015,0.01276,-1.14235,1.0,1.0,3.0,-1.5,0.7676,0.9497,0.3738,1.2771
0.098945,0.2375,0.0453,2.6563,0.01663,-0.00769,-1.174,1.0,1.0,3.0,-1.5,0.7625,0.9547,0.3437,1.2693
0.099533,0.2411,0.0399,2.6853,0.01032,-0.00901,-1.1926,1.0,1.0,3.0,-1.5,0.7589,0.9601,0.3147,1.2636
0.1,0.2439,0.0342,2.7147,0.00578,-0.01475,-1.21499,1.0,1.0,3.0,-1.5,0.7561,0.9658,0.2853,1.2593
0.099871,0.2457,0.0286,2.7441,0.01965,-0.01398,-1.23055,1.0,1.0,3.0,-1.5,0.7543,0.9714,0.2559,1.2562
0.099445,0.2474,0.0231,2.7724,0.01655,-0.01677,-1.2434,1.0,1.0,3.0,-1.5,0.7526,0.9769,0.2276,1.254
0.1,0.2482,0.0178,2.8006,0.00968,-0.01269,-1.26188,1.0,1.0,3.0,-1.5,0.7518,0.9822,0.1994,1.2528
