dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.096211,-0.1744,-0.1075,1.3859,-0.04069,-0.02233,-3.02439,0.0,0.0,1.0,-3.1,0.1744,0.1075,-0.3859,0.4369
0.1,-0.1296,-0.0851,1.3498,-0.02396,-0.0375,-3.03215,0.0,0.0,1.0,-3.1,0.1296,0.0851,-0.3498,0.3826
0.1,-0.0948,-0.0643,1.3188,0.39547,0.30486,-2.87734,0.0,0.0,1.0,-3.1,0.0948,0.0643,-0.3188,0.3387
0.1,-0.0575,-0.049,1.2796,0.00313,-0.05803,-3.05045,0.0,0.0,1.0,-3.1,0.0575,0.049,-0.2796,0.2897
0.1,-0.0268,-0.0365,1.2409,0.04741,-0.04994,-3.06592,0.0,0.0,1.0,-3.1,0.0268,0.0365,-0.2409,0.2451
0.095595,-0.0053,-0.0286,1.2072,0.00981,-0.06827,-3.07333,0.0,0.0,1.0,-3.1,0.0053,0.0286,-0.2072,0.2092
0.098843,0.0121,-0.0234,1.1693,-0.02754,-0.07132,-3.06114,0.0,0.0,1.0,-3.1,-0.0121,0.0234,-0.1693,0.1713
0.092969,0.0217,-0.0209,1.1395,-0.02184,-0.04277,-3.07453,1.0,1.0,2.0,3.1,0.9783,1.0209,0.8605,1.6552
0.092902,0.0278,-0.0193,1.1122,-0.01383,-0.02887,-3.05536,1.0,1.0,2.0,3.1,0.9722,1.0193,0.8878,1.665
0.098441,0.0312,-0.0179,1.0942,-0.03387,-0.00683,-3.05666,1.0,1.0,2.0,3.1,0.9688,1.0179,0.9058,1.6719
0.1,0.0366,-0.0131,1.0904,-0.0821,0.03358,-3.05259,1.0,1.0,2.0,3.1,0.9634,1.0131,0.9096,1.6679
0.1,0.0452,-0.0035,1.0997,-0.07495,0.04029,-3.05196,1.0,1.0,2.0,3.1,0.9548,1.0035,0.9003,1.6521
0.098761,0.0571,0.0136,1.1215,-0.086,0.05049,-3.03963,1.0,1.0,2.0,3.1,0.9429,0.9864,0.8785,1.6229
0.1,0.077,0.0368,1.1495,-0.07209,0.04034,-3.05704,1.0,1.0,2.0,3.1,0.923,0.9632,0.8505,1.5821
0.1,0.1026,0.0666,1.1844,-0.08966,0.05414,-3.05129,1.0,1.0,2.0,3.1,0.8974,0.9334,0.8156,1.5303
0.1,0.1328,0.1015,1.2236,-0.06623,0.05649,-3.06629,1.0,1.0,2.0,3.1,0.8672,0.8985,0.7764,1.4704
0.097259,0.169,0.1411,1.2663,-0.07733,0.05873,-3.07254,1.0,1.0,2.0,3.1,0.831,0.8589,0.7337,1.4024
0.099021,0.2066,0.1871,1.3087,-0.0711,0.06496,-3.07788,1.0,1.0,2.0,3.1,0.7934,0.8129,0.6913,1.3297
0.1,0.2514,0.2221,1.3679,-0.0552,0.04991,-3.1012,1.0,1.0,2.0,3.1,0.7486,0.7779,0.6321,1.251
0.096802,0.3044,0.2888,1.3967,-0.06158,0.06368,-3.11657,1.0,1.0,2.0,3.1,0.6956,0.7112,0.6033,1.1635
0.1,0.3673,0.3518,1.444,-0.07755,0.059,-3.11512,1.0,1.0,2.0,3.1,0.6327,0.6482,0.556,1.0628
0.1,0.4302,0.4127,1.4856,-0.07503,0.06007,-3.11117,1.0,1.0,2.0,3.1,0.5698,0.5873,0.5144,0.9665
0.099981,0.4977,0.4775,1.526,-0.11394,0.07854,-3.10662,1.0,1.0,2.0,3.1,0.5023,0.5225,0.474,0.866
0.090773,0.5592,0.5171,1.5792,-0.06333,0.05327,-3.12853,1.0,1.0,2.0,3.1,0.4408,0.4829,0.4208,0.7775
0.1,0.6406,0.6125,1.6043,0.00118,-0.03068,-3.13236,1.0,1.0,2.0,3.1,0.3594,0.3875,0.3957,0.6602
0.1,0.706,0.6786,1.6435,0.00206,-0.12086,-3.13261,1.0,1.0,2.0,3.1,0.294,0.3214,0.3565,0.5629
0.090735,0.7563,0.7325,1.6771,0.05663,-0.17169,-3.12887,1.0,1.0,2.0,3.1,0.2437,0.2675,0.3229,0.485
0.1,0.8045,0.7922,1.7157,0.04898,-0.14426,3.13733,1.0,1.0,2.0,3.1,0.1955,0.2078,0.2843,0.4028
0.096723,0.8356,0.8409,1.7487,0.04211,-0.09374,-3.13161,1.0,1.0,2.0,3.1,0.1644,0.1591,0.2513,0.3399
0.1,0.8562,0.8819,1.7809,0.07318,-0.10629,-3.13262,1.0,1.0,2.0,3.1,0.1438,0.1181,0.2191,0.2875
0.1,0.8712,0.9139,1.8113,0.11587,-0.09328,-3.11707,1.0,1.0,2.0,3.1,0.1288,0.0861,0.1887,0.2442
0.09925,0.8826,0.9363,1.839,0.11631,-0.03738,-3.12305,1.0,1.0,2.0,3.1,0.1174,0.0637,0.161,0.2092
0.099424,0.8939,0.9495,1.8645,0.07524,-0.01242,-3.12998,1.0,1.0,2.0,3.1,0.1061,0.0505,0.1355,0.1794
