sample_index,controller_time,wind_enabled,x,y,z,roll,pitch,yaw,target_x,target_y,target_z,target_yaw,error_x_world,error_y_world,error_z,error_forward,error_left,yaw_error,vx_setpoint,vy_setpoint,vz_setpoint,yaw_rate_setpoint
11,1777301441.3501885,0,0.9874934410565477,1.1880547274679671,0.8226198532384148,0.020807783200755308,-0.028428453046891546,0.18779132580766217,0.0,0.0,2.0,0.0,-0.9874934410565477,-1.1880547274679671,1.1773801467615852,-1.1919296399529276,-0.9828128331428991,-0.18779132580766214,-0.4171753739835246,-0.34398449160001465,0.6,-0.18779132580766214
12,1777301441.4482152,0,0.9850860958430249,1.1877941733614947,0.8185080360354844,0.018100872320493767,-0.025448176878202514,0.1874038199678893,0.0,0.0,2.0,0.0,-0.9850860958430249,-1.1877941733614947,1.1814919639645156,-1.1891349656600327,-0.983467156512856,-0.1874038199678893,-0.41619723798101144,-0.3442135047794996,0.6,-0.1874038199678893
13,1777301441.5526457,0,0.9829157660551445,1.1875735133367231,0.8151786242608762,0.021199789039240358,-0.026359868431237388,0.1858262969825605,0.0,0.0,2.0,0.0,-0.9829157660551445,-1.1875735133367231,1.1848213757391237,-1.185408310560876,-0.9855259458745412,-0.1858262969825605,-0.4148929086963066,-0.3449340810560894,0.6,-0.1858262969825605
14,1777301441.6482067,0,0.97155799448621,1.184959746566168,0.8084512079700754,0.038514549074525735,-0.04618658661488105,0.17516310031211596,0.0,0.0,2.0,0.0,-0.97155799448621,-1.184959746566168,1.1915487920299246,-1.1631927864063274,-0.9975154531557432,-0.17516310031211596,-0.4071174752422146,-0.3491304086045101,0.6,-0.17516310031211596
15,1777301441.7509243,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
16,1777301441.8496275,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
17,1777301441.9502087,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
18,1777301442.0486572,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
19,1777301442.1477256,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
20,1777301442.2484083,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
21,1777301442.352816,0,0.9331996888953799,1.176857116405859,0.7791273114908402,0.05417000113620482,-0.05399264544941492,0.17980949356045164,0.0,0.0,2.0,0.0,-0.9331996888953799,-1.176857116405859,1.2208726885091599,-1.128626086424705,-0.9909881375834936,-0.17980949356045164,-0.39501913024864677,-0.34684584815422276,0.6,-0.17980949356045164
22,1777301442.4498672,0,-0.742858331142843,0.9616926643143605,0.14058810322514667,-3.140103909552097,0.03693072748948132,1.5286888458169008,0.0,0.0,2.0,0.0,0.742858331142843,-0.9616926643143605,1.8594118967748534,-0.929569580065994,-0.7826823599394039,-1.5286888458169008,-0.32534935302309786,-0.2739388259787914,0.6,-1.2
23,1777301442.5476704,0,-0.742858331142843,0.9616926643143605,0.14058810322514667,-3.140103909552097,0.03693072748948132,1.5286888458169008,0.0,0.0,2.0,0.0,0.742858331142843,-0.9616926643143605,1.8594118967748534,-0.929569580065994,-0.7826823599394039,-1.5286888458169008,-0.32534935302309786,-0.2739388259787914,0.6,-1.2
24,1777301442.6493766,0,0.8307447810196281,0.9676710725622119,1.298567955509855,-0.07969868230375754,-0.05328204457324735,0.023035452598205292,0.0,0.0,2.0,0.0,-0.8307447810196281,-0.9676710725622119,0.701432044490145,-0.8528131506630358,-0.9482794556043265,0.0,-0.2984846027320625,-0.33189780946151426,0.4559308289185942,0.0
25,1777301442.7509975,0,0.8033596527983913,0.9304092842725492,1.3521067179955208,-0.0229227616041868,-0.05210665582352195,-0.04127966914586076,0.0,0.0,2.0,0.0,-0.8033596527983913,-0.9304092842725492,0.6478932820044792,-0.7642792024121539,-0.9627696862516762,0.04127966914586076,-0.26749772084425383,-0.3369693901880867,0.42113063330291145,0.04127966914586076
26,1777301442.8489218,0,0.7738648079169081,0.8911305357636177,1.4024795893145496,0.036125063115117144,-0.06494913376256992,-0.04365769194981388,0.0,0.0,2.0,0.0,-0.7738648079169081,-0.8911305357636177,0.5975204106854504,-0.7342350892746912,-0.9240558459208035,0.04365769194981388,-0.2569822812461419,-0.3234195460722812,0.38838826694554274,0.04365769194981388
27,1777301442.9586284,0,0.73520892534344,0.8496785186102794,1.4479621823453295,0.03164272360561698,-0.025412365293927503,-0.04240640739276474,0.0,0.0,2.0,0.0,-0.73520892534344,-0.8496785186102794,0.5520378176546705,-0.6985269450243413,-0.8800828688068959,0.04240640739276474,-0.24448443075851944,-0.30802900408241357,0.35882458147553586,0.04240640739276474
28,1777301443.0601022,0,0.7010970061083106,0.8126504925414257,1.4864517234578705,0.04196614884878042,-0.04686488361573758,-0.021945249532674654,0.0,0.0,2.0,0.0,-0.7010970061083106,-0.8126504925414257,0.5135482765421295,-0.6830958044028425,-0.8278393304313898,0.0,-0.23908353154099485,-0.2897437656509864,0.3338063797523842,0.0
29,1777301443.1498303,0,0.6704090883764502,0.7777401792000973,1.515558876719213,0.03388369888786947,-0.03294536370271491,-0.031269368320255245,0.0,0.0,2.0,0.0,-0.6704090883764502,-0.7777401792000973,0.48444112328078703,-0.6457658798323985,-0.7983198360082447,0.031269368320255245,-0.22601805794133947,-0.27941194260288565,0.31488673013251156,0.031269368320255245
30,1777301443.2593381,0,0.6326685070534962,0.7349747712374939,1.5471282747899564,0.04856103522829997,-0.021216304828606997,-0.029982208157921093,0.0,0.0,2.0,0.0,-0.6326685070534962,-0.7349747712374939,0.4528717252100436,-0.6103512998917056,-0.7536104065718651,0.0,-0.21362295496209693,-0.26376364230015276,0.29436662138652836,0.0
31,1777301443.359529,0,0.5954513738038545,0.692149998036551,1.5642189193185208,-0.0011801099463658793,-0.04456416944532934,-0.02129602935167291,0.0,0.0,2.0,0.0,-0.5954513738038545,-0.692149998036551,0.43578108068147925,-0.5805774215493381,-0.7046728431932207,0.0,-0.20320209754226834,-0.24663549511762722,0.2832577024429615,0.0
32,1777301443.4605281,0,0.5612725625023128,0.6518567961066223,1.5842704592295125,-0.00226347897014651,-0.017844399269943384,-0.037371040309567796,0.0,0.0,2.0,0.0,-0.5612725625023128,-0.6518567961066223,0.4157295407704875,-0.5365257762915397,-0.6723721167798853,0.0373710403095678,-0.1877840217020389,-0.23533024087295984,0.2702242015008169,0.0373710403095678
33,1777301443.551238,0,0.5308498578071629,0.6160598821532952,1.6001059360981122,0.005551440920399095,-0.02470513694878487,-0.03521972969703447,0.0,0.0,2.0,0.0,-0.5308498578071629,-0.6160598821532952,0.39989406390188775,-0.5088276738545217,-0.634370355748449,0.03521972969703447,-0.17808968584908258,-0.22202962451195715,0.25993114153622704,0.03521972969703447
34,1777301443.658593,0,0.4957377656361207,0.5724977452157944,1.6157220947740212,-0.020483020398488705,-0.016795203705147775,-0.0337616315888243,0.0,0.0,2.0,0.0,-0.4957377656361207,-0.5724977452157944,0.3842779052259788,-0.47613047342734477,-0.5889052324686159,0.0337616315888243,-0.16664566569957065,-0.20611683136401557,0.24978063839688625,0.0337616315888243
35,1777301443.7616339,0,0.4652965554487863,0.5345922660837414,1.6283424586868618,-0.017807894989592944,-0.02204627389271429,-0.025708457093585123,0.0,0.0,2.0,0.0,-0.4652965554487863,-0.5345922660837414,0.3716575413131382,-0.4514007724315814,-0.5463763520845561,0.0,-0.15799027035105348,-0.19123172322959464,0.24157740185353985,0.0
36,1777301443.858648,0,0.43731572992252443,0.4979746621716246,1.6407316163873653,-0.02341871662204886,-0.03146172487585478,-0.028593146892531337,0.0,0.0,2.0,0.0,-0.43731572992252443,-0.4979746621716246,0.3592683836126347,-0.42290025185338675,-0.5102736410838367,0.0,-0.14801508814868536,-0.17859577437934282,0.23352444934821256,0.0
37,1777301443.9589174,0,0.4116137417556712,0.46313678972872496,1.6525992210672509,0.0008805339502248898,-0.014391937788852113,-0.03630603035228362,0.0,0.0,2.0,0.0,-0.4116137417556712,-0.46313678972872496,0.3474007789327491,-0.3945315271762723,-0.47777236469504164,0.03630603035228362,-0.1380860345116953,-0.16722032764326455,0.22581050630628693,0.03630603035228362
38,1777301444.0552287,0,0.3895039435023684,0.43271767866643285,1.6608631628841737,0.0013025431225828533,-0.01862162980134141,-0.03733705778224472,0.0,0.0,2.0,0.0,-0.3895039435023684,-0.43271767866643285,0.3391368371158263,-0.37307982849723503,-0.4469556499283079,0.03733705778224472,-0.13057793997403225,-0.15643447747490774,0.2204389441252871,0.03733705778224472
39,1777301444.155378,0,0.36983974592435004,0.40615287179697185,1.6640459390045932,-0.009866729502823303,-0.014123207460451445,-0.0354362497060162,0.0,0.0,2.0,0.0,-0.36983974592435004,-0.40615287179697185,0.3359540609954068,-0.3552180386099618,-0.4190008806439516,0.0354362497060162,-0.12432631351348662,-0.14665030822538305,0.21837013964701443,0.0354362497060162
40,1777301444.2707326,0,0.34054198981118405,0.3645089583959862,1.6739368703020572,-0.02181937049840806,-0.004387373129574844,-0.04155509939260018,0.0,0.0,2.0,0.0,-0.34054198981118405,-0.3645089583959862,0.3260631296979428,-0.3251051567506399,-0.3783414656492588,0.04155509939260018,-0.11378680486272395,-0.13241951297724058,0.21194103430366285,0.04155509939260018
